Kode Barang;Nama Barang;Jumlah Unit;Unit;Minimum Order / Unit;Jumlah / Unit;Satuan; Harga Barang / Satuan (Rp) 
UMMS-702;Formulir Auto Debet @100 Lembar;54;Pack;1 Pack;100;Lembar; 440,00 
UMMS-748;Amplop Tanpa Kaca  @100 Lembar;69;Pack;1 Pack;100;Lembar; 555,00 
UMMS-754;Amplop Kaca Corporate Image @100 Lembar;28;Pack;1 Pack;100;Lembar; 610,50 
UMMS-903;Slip Likuidasi @100 Lembar;29;Pack;1 Pack;100;Lembar; 203,50 
UMMS-914;KTPN @100 Lembar;28;Pack;1 Pack;100;Lembar; 294,15 
ATMS-705;Laporan Kehilangan Kartu ATM @50 Set;80;Pack;1 Pack;50;Set; 475,20 
IDSS-001;Kartu Spesimen @100 Lembar;1;Pack;1 Pack;100;Lembar; 155,40 
IDSS-002;Surat Kuasa @100 Lembar;32;Pack;1 Pack;100;Lembar; 222,00 
IDSS-174;Ban Uang Rp1.000,- @1000 Lembar;51;Pack;1 Pack;1000;Lembar; 30,80 
IDSS-175;Ban Uang Rp5.000,- @1000 Lembar;38;Pack;1 Pack;1000;Lembar; 30,80 
IDSS-176;Ban Uang Rp10.000,- @1000 Lembar;22;Pack;1 Pack;1000;Lembar; 30,80 
IDSS-177;Ban Uang Rp20.000,- @1000 Lembar;38;Pack;1 Pack;1000;Lembar; 30,80 
IDSS-178;Ban Uang Rp50.000,- @1000 Lembar;23;Pack;1 Pack;1000;Lembar; 30,80 
IDSS-179;Ban Uang Rp100.000,- @1000 Lembar;4;Pack;1 Pack;1000;Lembar; 30,80 
IDSS-180;Ban Uang Rp2.000,- @1000 Lembar;53;Pack;1 Pack;1000;Lembar; 30,80 
ATF-004;Kartu Flazz Persembahanku @1 Pcs;403;Pcs;1 Pcs;1;Pcs; 23.000,00 
ATF-004;Kartu Flazz Persembahanku @1 Pcs;403;Pcs;1 Pcs;1;Pcs; 23.000,00 
ATF-008;Flazz Edisi Haji @1 Pcs;1;Pcs;1 Pcs;1;Pcs; 23.000,00 
ATF-010;Flazz Edisi Masjid Pink @1 Pcs;4;Pcs;1 Pcs;1;Pcs; 23.000,00 
ATF-011;Flazz Edisi Tahajud @1 Pcs;13;Pcs;1 Pcs;1;Pcs; 23.000,00 
ATF-014;Flazz Green Earth @1 Pcs;6;Pcs;1 Pcs;1;Pcs; 35.000,00 
ATF-015;Flazz Logo BSya @1 Pcs;3370;Pcs;1 Pcs;1;Pcs; 35.000,00 
ATF-016;Flazz BSya Kucing Naik Motor @1 Pcs;10;Pcs;1 Pcs;1;Pcs; 35.000,00 
IDSS-156;Buku Tahapan BCA Syariah @100 Pcs;32;Pack;1 Pack;100;Pcs; 2.025,75 
IDSS-157;Buku Tabungan Simpanan Pelajar @100 Pcs;150;Pack;1 Pack;100;Pcs; 2.053,50 
IDSS-158;Buku Tabungan Umroh Dewasa @100 Pcs;44;Pack;1 Pack;100;Pcs; 1.887,00 
IDSS-160;Buku Tabungan Umroh Anak @100 Pcs;88;Pack;1 Pack;100;Pcs; 1.887,00 
ILSS-101;Plastik Emas @50 Pcs;100;Pcs;1 Pcs;50;Pcs; 6.660,00 
PRO-001;Ballpoint BCAS @1 Pcs;552;Pcs;1 Pcs;1;Pcs; 6.549,00 
PRO-014;Kipas Emas @1 Pcs;45;Pcs;1 Pcs;1;Pcs; 4.662,00 
PRO-033;Gesper Koper @1 Pcs;42;Pcs;1 Pcs;1;Pcs; 122.900,00 
PRO-036;Food Saver @1 Pcs;26;Pcs;1 Pcs;1;Pcs; 9.435,00 
PRO-038;Flasdisk 8 TB BCAS @1 Pcs;34;Pcs;1 Pcs;1;Pcs; 77.000,00 
PRO-079;Tripot Banner  @1 Pcs;3;Pcs;1 Pcs;1;Pcs; 199.134,00 
PRO-113;Pouch Tenun @1 Pcs;4;Pcs;1 Pcs;1;Pcs; 200.000,00 
PRO-114;Tas Belanja Lipat @1 Pcs;3;Pcs;1 Pcs;1;Pcs; 44.400,00 
PRO-118;Pouch Tenun Mini @1 Pcs;8;Pcs;1 Pcs;1;Pcs; 125.000,00 
PRO-124;Goodie Bag Reguler @1 Pcs;25;Pcs;1 Pcs;1;Pcs; 9.768,00 
PRO-125;Goodie Bag Small/Mini @1 Pcs;3;Pcs;1 Pcs;1;Pcs; 8.658,00 
PRO-130;Name Card Holder @1 Pcs;11;Pcs;1 Pcs;1;Pcs; 25.530,00 
PRO-132;Tas Serut Parasut @1 Pcs;34;Pcs;1 Pcs;1;Pcs; 12.500,00 
PRO-137;Mukena Travel @1 Pcs;35;Pcs;1 Pcs;1;Pcs; 78.750,00 
PRO-140;Mouse Pad @1 Pcs;32;Pcs;1 Pcs;1;Pcs; 10.545,00 
PRO-141;Bantal Leher Bsya @1 Pcs;2;Pcs;1 Pcs;1;Pcs; 64.380,00 
PRO-143;Sejadah Motif Hitam (Sajadah Besar) @1 Pcs;5;Pcs;1 Pcs;1;Pcs; 49.000,00 
PRO-143;Sejadah Motif Coklat (Sajadah Besar) @1 Pcs;5;Pcs;1 Pcs;1;Pcs; 49.000,00 
